Feature,Attribute
PERFEED,Perceived feedback (WLE)
EMOSUPS,Parents' emotional support perceived by student (WLE)
STIMREAD,Teacher's stimulation of reading engagement perceived by student (WLE)
ADAPTIVITY,Adaptation of instruction (WLE)
TEACHINT,Perceived teacher's interest (WLE)
JOYREAD,Joy/Like reading (WLE)
SCREADCOMP,Self-concept of reading: Perception of competence (WLE)
SCREADDIFF,Self-concept of reading: Perception of difficulty (WLE)
PISADIFF,Perception of difficulty of the PISA test (WLE)
PERCOMP,Perception of competitiveness at school (WLE)
PERCOOP,Perception of cooperation at school (WLE)
ATTLNACT,Attitude towards school: learning activities (WLE)
COMPETE,Competitiveness (WLE)
WORKMAST,Work mastery (WLE)
GFOFAIL,General fear of failure (WLE)
EUDMO,Eudaemonia: meaning in life (WLE)
SWBP,Subjective well-being: Positive affect (WLE)
RESILIENCE,Resilience (WLE)
MASTGOAL,Mastery goal orientation (WLE)
GCSELFEFF,Self-efficacy regarding global issues (WLE)
GCAWARE,Student's awareness of global issues (WLE)
ATTIMM,Student's attitudes towards immigrants (WLE)
INTCULT,Student's interest in learning about other cultures (WLE)
PERSPECT,Perspective-taking (WLE)
COGFLEX,Cognitive flexibility/adaptability (WLE)
RESPECT,Respect for people from other cultures (WLE)
AWACOM,Awareness of intercultural communication (WLE)
GLOBMIND,Global-mindedness (WLE)
DISCRIM,Discriminating school climate (WLE)
BELONG,Subjective well-being: Sense of belonging to school (WLE)
BEINGBULLIED,Student's experience of being bullied (WLE)
ENTUSE,ICT use outside of school (leisure) (WLE)
HOMESCH,Use of ICT outside of school (for school work activities) (WLE)
USESCH,Use of ICT at school in general (WLE)
INTICT,Interest in ICT (WLE)
COMPICT,Perceived ICT competence (WLE)
AUTICT,Perceived autonomy related to ICT use (WLE)
SOIAICT,ICT as a topic in social interaction (WLE)
ICTCLASS,Subject-related ICT use during lessons (WLE)
ICTOUTSIDE,Subject-related ICT use outside of lessons (WLE)
INFOCAR,Information about careers (WLE)
INFOJOB1,Information about the labour market provided by the school (WLE)
INFOJOB2,Information about the labour market provided outside of school (WLE)
FLCONFIN,Confidence about financial matters (WLE)
FLCONICT,Confidence about financial matters using digital devices (WLE)
FLSCHOOL,Financial education in school lessons (WLE)
FLFAMILY,Parental involvement in matters of Financial Literacy (WLE)
CURSUPP,Current parental support for learning at home (WLE)
EMOSUPP,Parents' emotional support (WLE)
PQSCHOOL,Parents' perceived school quality (WLE)
PASCHPOL,School policies for parental involvement (WLE)
PRESUPP,Previous parental support for learning at home (WLE)
JOYREADP,Parents enjoyment of reading (WLE)
ATTIMMP,Parents' attitudes towards immigrants (WLE)
INTCULTP,Parents' interest in learning about other cultures (WLE)
GCAWAREP,Parents' awareness of global issues (WLE)
BODYIMA,Body image (WLE)
SOCONPA,Social Connections: Parents (WLE)
